DESCRIPTION,CREATED_BY_ID,CLOSED_BY_ID,VEHICLE_ID,VEHICLE_METER_VALUE,VEHICLE_METER_UNIT,VEHICLE_METER_AT,CUSTOM_FIELDS,REPORTED_AT,RESOLVED_AT,RESOLVED_NOTE,STATE,CREATED_AT,UPDATED_AT
Fender light is out,,,330f772e65d64997da694dec6db8d104,135684.045,km,2023-07-04T00:00:00Z,{},2023-01-21T02:33:26.067Z,,,open,2023-01-21T03:33:12.305Z,2023-01-21T03:33:12.305Z
,f1d0ea42b3abc890d7ebb536a540c593,,b9d1001643896fcd84d96c173714e35b,439.122022,hr,,{},2023-05-03T14:41:00Z,2023-05-03T05:00:00Z,,resolved,2023-05-03T14:41:35.888Z,2023-06-07T17:41:21.691Z
"tension, lube",3264b7acc673cbbad595a95e32ef8408,,98299f68a21dbea5adcc925224e89db1,5300.919302,mi,2023-05-29T00:00:00Z,{},2023-03-07T15:49:20.993Z,2023-03-07T15:50:25Z,,resolved,2023-03-07T15:49:21.376Z,2023-03-07T15:50:29.644Z
Needs new wiper blades.,,,90ffc8780cf20714787a74fe0f4bd2fc,56332.24652,mi,2023-07-04T00:00:00Z,{},2023-03-10T01:36:17Z,2023-03-30T21:00:00Z,,resolved,2023-03-10T01:39:35.309Z,2023-04-03T16:37:31.968Z
Ac blows out hot air,21fca1c89044737ed3ad6f852e956cab,,d183f382818e976e847fbcdd0aeaa74d,110105.7186,mi,2023-06-30T00:00:00Z,{},2023-05-28T17:25:24.293Z,2023-06-02T14:00:00Z,,resolved,2023-05-28T17:25:53.282Z,2023-06-02T15:48:21.329Z
"Chain must be adjusted,very loose, requires truck hooked to trailer and PTO engaged while belt is running empty",6160545e8aaf2067c2661c1071af16a2,,9f24d12e65f0ab85051f75dcb73b697a,77713.63251,mi,2023-06-30T00:00:00Z,{},2023-05-08T21:04:55Z,2023-05-24T00:34:13.143Z,Adjusted chain as much as possible. Might need to look into removing some links,resolved,2023-05-08T21:05:39.724Z,2023-05-24T00:34:13.208Z
IoT issue,,,e21fcb4a17e1d0f841c05e2784cb02cf,-1662.586518,mi,2023-05-16T00:00:00Z,{},2023-05-17T00:57:45.339Z,2023-05-17T00:59:30Z,,resolved,2023-05-17T00:57:45.538Z,2023-05-17T00:59:31.255Z
Affichage kilométrique,a4fdcc4cb439b65943fea5079545a370,,1ec580c19d52d070386a2cb9322d0801,312654.2417,km,2023-07-04T00:00:00Z,,2023-03-14T15:08:31.494Z,2023-03-15T09:26:45.067Z,Ok,resolved,2023-03-14T15:10:08.462Z,2023-03-15T09:26:45.107Z
Power steering leaking,,,19af602165b3a8f59d9f69229442be28,539160.6529,mi,2023-07-03T00:00:00Z,{},2023-05-10T05:50:58Z,2023-05-12T20:00:00Z,,resolved,2023-05-10T06:29:48.089Z,2023-05-19T15:51:39.317Z
Tea end needs 3 axle alignment,,,629b420979e5605b9d642f815e52248d,18156.14896,hr,2023-07-04T00:00:00Z,{},2023-06-09T18:37:17Z,,,open,2023-06-09T19:27:01.033Z,2023-06-09T19:27:01.033Z
Electric rewind for the hose reel is not functioning. Able to rewind manually with no issues.,a606afde921afc892fe340fb89dfd236,,2ae2316d9811c47ed235f177df960e24,90030.40358,mi,2023-06-27T00:00:00Z,{},2023-03-12T14:51:00Z,2023-03-31T06:00:00Z,,resolved,2023-03-13T14:52:07.857Z,2023-03-31T19:18:06.312Z
Remove remote stop harness on K6,59d69440c1c8f1fd8a961ccb2bb33e25,,6c0788cc4873a1799d8bc78f7ab9428f,29009.61382,mi,2023-06-28T00:00:00Z,,2023-02-24T18:15:00Z,2023-02-24T22:44:05.452Z,Removed fuse tap from harness. Will install replacement when it arrives.,resolved,2023-02-24T18:18:31.177Z,2023-02-24T22:44:05.494Z
Aircon not working,96aa5b781e408406e6b3feda135cf1a8,,53e3012a424b20b125fc575a929a9236,276275.8672,km,2023-06-20T00:00:00Z,{},2023-06-20T04:07:13.652Z,,,open,2023-06-20T04:07:39.32Z,2023-06-20T04:07:39.32Z
Had to jump-start the truck,,,79d2b21a08417fe6cac2967500bad043,663888.4339,mi,2023-05-16T00:00:00Z,{},2023-02-06T17:08:29Z,2023-02-11T14:39:29Z,,resolved,2023-02-06T17:08:29Z,2023-06-15T16:11:29.995Z
"pads, caliper align",3264b7acc673cbbad595a95e32ef8408,,0eb5493248c15dc82727a9eb6e97f1a1,-9025.360617,mi,2023-05-31T00:00:00Z,{},2023-05-08T12:00:13.521Z,2023-05-08T12:00:38Z,,resolved,2023-05-08T12:00:13.744Z,2023-05-08T12:00:39.907Z
air leaks at air tanks and relay brake valve,568e890f74e94dddbcf1271cfff75797,,df46a0d30be99e7e16a568cee9efb53e,1483.308772,mi,2023-06-23T00:00:00Z,"{
  ""vehicle_inspection_item_id"": """"
}",2023-06-23T13:04:00Z,2023-06-23T15:00:17.962Z,,resolved,2023-06-23T13:06:03.4Z,2023-06-23T15:00:19.098Z
,2bd066a8e0262bd1365118e29db9987d,,c322bad52d35c5a8949a5c9ade7d17ea,606950.8729,mi,2023-06-14T00:00:00Z,{},2023-04-17T18:01:00Z,2023-04-19T16:12:10.991Z,,resolved,2023-04-17T18:03:19.418Z,2023-04-19T16:12:11.201Z
Truck is being dropped off at Midwest today,a12174b7a77e3b1b258e6624ba633683,,a3f0fa532e39971e7d5a699a51a9a70b,322819.7112,km,2023-06-07T00:00:00Z,{},2023-02-14T18:21:00Z,2023-02-15T13:23:00Z,,resolved,2023-02-14T18:21:36.188Z,2023-02-15T13:24:31.909Z
"Windshield is cracked, needs to be replaced.",,,9e6652a5cf517c55ab2f127054437ddb,145745.043,mi,2023-07-04T00:00:00Z,{},2023-06-13T11:16:29Z,,,open,2023-06-13T11:32:46.394Z,2023-06-14T09:21:43.884Z
Small but audible leak behind dashboard especially when loaded.,,,39845f889bd2623774cebce7cc078de6,37386.60977,hr,2023-07-04T00:00:00Z,{},2023-05-19T18:23:35Z,,,open,2023-05-19T18:28:05.633Z,2023-05-19T18:28:05.633Z
"dish, hub",3264b7acc673cbbad595a95e32ef8408,,ef3cbd20a3b97317599916daf5fcfdb4,-322.8205038,km,2023-03-07T00:00:00Z,{},2023-02-08T14:57:59.573Z,2023-02-08T20:45:08Z,,resolved,2023-02-08T14:57:59.77Z,2023-02-08T20:45:11.21Z
,262c948c742ed14acb5ef9a996dda2ad,,57b88b1a24459072c5c093673d9fc364,21263.97073,mi,2023-05-11T00:00:00Z,{},2023-01-31T16:12:00Z,2023-02-23T16:06:00Z,,resolved,2023-01-31T16:16:08.263Z,2023-04-12T15:04:38.293Z
Both front head lights out. Bulbs are good.  Connectors are bad.,,,2a7561476e29911b89b44a1c8bcb5c50,132602.3781,mi,2023-07-04T00:00:00Z,{},2023-01-12T19:15:57Z,2023-03-16T12:06:30.596Z,Resolved during door traffic,resolved,2023-01-12T19:34:41.88Z,2023-03-16T12:06:30.683Z
,600d093913e683a3b11fe7330c2208e9,,51bf9db8236dfec8a97dff27dcc87ab8,105464.6828,mi,2023-07-03T00:00:00Z,{},2023-03-13T16:57:00Z,2023-03-13T07:00:00Z,,resolved,2023-04-07T16:58:16.381Z,2023-04-07T16:59:41.371Z
Na,,,f14cc45aacf663307eee11824b74d5ce,318550.9968,mi,2023-07-04T00:00:00Z,{},2023-05-12T23:30:13Z,,,open,2023-05-13T00:29:28.85Z,2023-05-13T00:29:28.85Z
N/A,,,7195745c10445eff9abb4a9990497afe,418926.4319,mi,2023-02-03T00:00:00Z,{},2023-01-24T15:11:16Z,,,open,2023-01-24T15:37:36.461Z,2023-01-24T15:37:36.461Z
Hinges loose so it won’t shut properly,e64a3e8181768b70c750efea5da9c7d6,,13bd943ed268231fa468d0ee1a7efcfe,69406.13041,mi,2023-07-03T00:00:00Z,{},2023-03-07T13:22:49.335Z,2023-03-17T04:00:00Z,,resolved,2023-03-07T13:23:18.132Z,2023-03-17T12:23:16.444Z
light loose,3264b7acc673cbbad595a95e32ef8408,,82d5be79c955212097473098cf3a6837,518.6492975,mi,2023-05-01T00:00:00Z,{},2023-03-16T04:14:48.311Z,,,open,2023-03-16T04:14:48.501Z,2023-03-16T06:08:39.66Z
PTO leak,,,330f772e65d64997da694dec6db8d104,166746.2171,km,2023-07-04T00:00:00Z,{},2023-01-21T02:33:26.067Z,,,open,2023-01-21T03:33:13.482Z,2023-01-21T03:33:13.482Z
Rock chis o both sides,,1987f55913f8096ce57e0edc69a29b98,3407a0375c7a4b1a47b9d9184313d106,310957.3667,km,2023-06-05T00:00:00Z,{},2023-02-01T15:58:40Z,,,closed,2023-02-01T16:30:42.455Z,2023-02-01T21:10:36.213Z
Offside rear not working,,,196e120a201ab4d6e5f4295e51883ae5,138700.4509,mi,2023-02-03T00:00:00Z,{},2023-01-23T09:15:28Z,,,open,2023-01-24T06:25:11.252Z,2023-01-24T06:25:11.252Z
kickstand loose,3264b7acc673cbbad595a95e32ef8408,,4a681296535ef51f70febe86b2e8bb37,3584.989848,mi,2023-03-23T00:00:00Z,{},2023-03-24T03:59:55.262Z,2023-03-24T05:33:34Z,,resolved,2023-03-24T03:59:55.435Z,2023-03-24T05:33:35.623Z
,7a50809af6318eb8f87fa97683047cc7,,7e7e4a68d116b89cceb2c3006931eb10,39736.7762,mi,2023-06-29T00:00:00Z,{},2023-02-14T13:08:00Z,2023-02-14T06:00:00Z,,resolved,2023-02-15T13:08:31.58Z,2023-02-15T13:09:42.015Z
Windshield wiper has extra moving parts due to loose/possibly broken components on officer side wiper.,b7995cae2bcf5dbbd4690ce6a54d7f39,,646cb21799e827b0fadfb5336497fe7b,130297.5172,mi,2023-06-29T00:00:00Z,{},2023-06-23T06:44:46.982Z,,,open,2023-06-23T06:45:50.326Z,2023-06-23T06:45:50.326Z
,0145ac628a6b129d269b012ab536a1af,,5dd7356f93056239d67f01422ac4170e,7643.888419,mi,2023-06-12T00:00:00Z,{},2023-03-15T22:17:00Z,2023-03-21T23:49:24.034Z,,resolved,2023-03-15T22:20:14.285Z,2023-03-21T23:49:24.081Z
both furniture tools don't work,afce58b8106cdfdeb5e4a76b7598065c,,d263cb3bf5b808dcd2ed392e6c37be31,4089.825335,mi,,{},2023-05-24T02:22:00Z,2023-05-25T12:25:22.865Z,repair furniture tool,resolved,2023-05-24T02:22:56.084Z,2023-05-25T12:25:22.918Z
Pare-choc dessouder,82747487bbf3c7ff1d1611aa1fec4421,,aa7542789c34e255bbd35742e76ba678,227517.3205,km,2023-07-03T00:00:00Z,,2023-04-22T23:12:51.633Z,2023-04-23T16:14:31.695Z,ok,resolved,2023-04-22T23:13:32.528Z,2023-04-23T16:14:31.727Z
Main hose real needs replaced,93ea86cb12e9c0c796612ad8d9653ba1,,6e24a4a59106eaf24124d4da27cde4a9,486268.1333,mi,2023-07-04T00:00:00Z,{},2023-06-26T10:51:29.089Z,2023-06-27T12:24:26.243Z,repaired air reel recardio,resolved,2023-06-26T10:51:52.336Z,2023-06-27T12:24:26.298Z
low coolant sensor and light gotten  on.,,,162a5f67574f35c9a75c744c38aa1391,8393.2286,mi,2023-07-04T00:00:00Z,,2023-05-19T14:23:29.558Z,2023-06-29T16:35:35.479Z,,resolved,2023-05-19T14:30:14.223Z,2023-06-29T16:35:36.316Z
Disgusting,,,f18908189c821db1deaeb04d304d9f14,121719.5911,mi,2023-07-04T00:00:00Z,{},2023-06-28T12:52:22Z,,,open,2023-06-28T13:26:47.142Z,2023-06-28T13:26:47.142Z
"Removed old T pipe, then installed new one, put rubber hose around the pile then snug them up. ",212f157a4a852fc74a0f75a059f97441,,775117133400c39ab8266d0636d7b2a0,58379.44656,mi,2022-12-27T00:00:00Z,{},2023-05-03T16:11:00Z,2023-05-03T13:00:00Z,,resolved,2023-06-09T16:13:00.017Z,2023-06-09T16:14:35.971Z
Motor for driver side doesn’t work window won’t go up,,,d840e2f42ec7f93bd2a14b6ad0097b30,1963.292314,hr,2023-07-04T00:00:00Z,{},2023-06-17T08:25:19Z,,,open,2023-06-17T08:27:09.562Z,2023-06-17T08:27:09.562Z
Bolt in back left side tire. Slow leak.,,,f9a8477016d85298f3a32edb1d454434,61230.03594,mi,2023-05-15T00:00:00Z,{},2023-05-15T13:06:37Z,,,open,2023-05-15T13:06:37Z,2023-05-15T17:37:40.464Z
Driver side tire went flat due to screw in tread.  Tire was plugged with a tire plug,,,cd6468bec0beb137e1f386afdbd0fd32,40167.11482,mi,2023-07-04T00:00:00Z,{},2023-02-20T19:07:14Z,2023-02-22T12:25:00Z,,resolved,2023-02-20T19:26:33.733Z,2023-02-22T17:25:52.345Z
Leaking  oil on wires...,,1eb94c56b58a58414aa37688c94e1d43,2fec43c98342abd1385cb57786e5efd8,209767.1446,mi,2023-07-04T00:00:00Z,{},2023-02-27T22:29:26Z,,,closed,2023-02-27T22:35:38.389Z,2023-02-28T16:22:24.626Z
no power,3264b7acc673cbbad595a95e32ef8408,,ce66899adf5b147ab85c0e292412b4a9,5059.927784,km,2023-02-06T00:00:00Z,{},2023-01-17T12:58:24.458Z,2023-01-17T13:06:00Z,,resolved,2023-01-17T12:58:24.826Z,2023-01-17T13:06:01.175Z
,fe5e24741ad590bae29fbecc43e8c2d7,,9e072e98bfb747a7a2c9e7d5124f7c7a,3408.27027,hr,2023-06-22T00:00:00Z,{},2023-06-20T13:16:22.095Z,2023-06-23T14:42:04.239Z,,resolved,2023-06-20T13:16:39.861Z,2023-06-23T14:42:04.307Z
tension,3264b7acc673cbbad595a95e32ef8408,,df5dbc11c67f3015f4ed985ebf182818,2455.522125,mi,2023-06-19T00:00:00Z,{},2023-02-06T13:52:43.434Z,2023-02-06T16:26:49Z,,resolved,2023-02-06T13:52:43.629Z,2023-02-06T16:26:51.094Z
PTO needs adjustment,,,0d91b2c719ee867e1414e336e73c7e3e,40421.4756,mi,2023-07-04T00:00:00Z,{},2023-04-12T16:34:09Z,,,open,2023-04-13T14:40:57.882Z,2023-04-13T14:40:57.882Z
Grille guard,,,c245884455077d94b6d45df1afd76b50,87123.14267,mi,2023-07-03T00:00:00Z,{},2023-05-31T04:04:12Z,,,open,2023-05-31T04:21:29.745Z,2023-05-31T04:21:29.745Z
Diesel exhaust fluid concentration extremely low,066e7cef67663f0a7a199c1ba98a5016,,5713e6d2fa8f31f6ade619ee30298db5,7181.699166,hr,2023-07-03T00:00:00Z,{},2023-05-01T14:33:58.997Z,2023-05-01T16:21:00Z,,resolved,2023-05-01T14:35:29.517Z,2023-06-26T16:22:19.54Z
battery,3264b7acc673cbbad595a95e32ef8408,,94e653c70a4f10f0f887f8f80e1927dd,30677.7273,mi,2023-05-22T00:00:00Z,{},2023-04-12T07:42:20.282Z,2023-04-12T08:02:10Z,,resolved,2023-04-12T07:42:20.475Z,2023-04-12T08:02:11.651Z
Don't adjust,,,454e0dbbe56e00c6750b29832b106c42,131251.1138,mi,2023-05-16T00:00:00Z,{},2023-05-17T04:56:51Z,2023-05-24T20:30:21.127Z,Needs new mirror motors,resolved,2023-05-17T05:39:50.926Z,2023-05-24T20:30:21.193Z
Bolt in back left side tire. Slow leak.,,fc53d14d4ee9c6748e3c2c4e0190cb8f,ad8c841689ddb09a3cde08ab454c88e6,58896.48999,mi,2023-01-10T00:00:00Z,{},2023-01-10T12:02:11Z,,,closed,2023-01-10T12:02:11Z,2023-01-10T17:22:59.511Z
Hollywood,,,0ad82f5d6ae0fe7ab8282496b32484b5,6189.025176,mi,2023-06-25T00:00:00Z,{},2023-06-12T22:24:35Z,2023-06-14T18:06:04.589Z,,resolved,2023-06-12T22:24:35.592Z,2023-06-14T18:06:08.037Z
Défaut circuit phare,82747487bbf3c7ff1d1611aa1fec4421,,184f95f839423faf0ad3191977a6d204,478207.1421,km,2023-06-15T00:00:00Z,,2023-05-17T15:31:01.797Z,2023-05-17T18:40:00.75Z,Ok,resolved,2023-05-17T15:31:31.058Z,2023-05-17T18:40:00.814Z
N,,,c14def5d8ca68a7559c4569e7088a29d,142810.6691,mi,2023-02-03T00:00:00Z,{},2023-01-23T22:47:34Z,,,open,2023-01-24T06:23:03.366Z,2023-01-24T06:23:03.366Z
Trailer brake controller doesn't work,9ecdbac5484b1bd36234aa9be5ae1404,,698e9b38a4ba4382ec06abc9e0017613,521456.684,km,2023-07-04T00:00:00Z,"{
  ""priority"": ""false"",
  ""unit_tagged_out_of_service"": ""false""
}",2023-06-09T12:25:33.178Z,,,open,2023-06-09T12:25:52.354Z,2023-06-09T12:25:52.354Z
Insured turning right when third party vehicle has braked and he has collided into the other vehicle. Has run into the car in front,,,3c0330c3f8c044a7da945cd18d146c67,48119.57876,km,2023-07-04T00:00:00Z,,2023-04-14T14:00:00Z,,,open,2023-04-16T22:14:38.199Z,2023-06-07T00:36:54.044Z
Driver side signal light,1c8a834c8b676b9f0648d6c99551db1a,,94cc629f3c7db6faf27dbe177ce56041,-5571.323208,mi,2022-06-10T00:00:00Z,{},2023-06-23T15:27:00Z,2023-06-23T19:02:00.662Z,Tested works fine,resolved,2023-06-23T15:29:03.357Z,2023-06-23T19:02:00.725Z
truck coninued to stall during the trip back to the shop and all accelleration cut out during start/stop scenarios. Almost got hit several times due to all power just cutting out.,d9276359c52f1294fb1e7611d01da75f,,ee7bdb16d96db276848b848405579a38,42698.04997,mi,2023-07-04T00:00:00Z,{},2023-05-09T18:30:00Z,,,open,2023-05-09T20:11:10.235Z,2023-06-14T13:32:09.418Z
Défaut balai essuie-glace,f17b4f70209cd2ed1728f0665cafd89f,,c52a82ab03d4774ca3cb877c8778875b,571570.6614,km,2023-06-05T00:00:00Z,,2023-05-09T23:52:00Z,2023-05-10T07:19:28.779Z,Ok,resolved,2023-05-09T23:52:21.438Z,2023-05-10T07:19:28.816Z
Tablet not charging,,,e249bee35a747891e62ffb050a08f442,120411.1631,mi,2023-07-04T00:00:00Z,{},2023-03-16T16:36:07Z,2023-05-02T15:24:00Z,,resolved,2023-03-16T17:32:07.641Z,2023-05-02T15:27:23.073Z
Left front tire rubbing and chips on windshield,bd97e4a0fde4a0144b2177a82a8f35c8,,bbaf95d203c72d6034edcb97bbf7114d,76323.51203,mi,2023-07-02T00:00:00Z,{},2023-05-22T23:03:33.489Z,2023-05-24T15:00:00Z,,resolved,2023-05-22T23:05:11.461Z,2023-05-26T18:22:52.363Z
,81edc88f3caff65b87cf4ded37fd7a0e,,b23c079e0b7561127f74a4afc2a481ba,15754.03502,hr,2023-07-04T00:00:00Z,"{
  ""resolved_note"": """"
}",2023-04-17T12:05:00Z,2023-04-18T15:02:11.772Z,,resolved,2023-04-17T12:05:31.197Z,2023-04-18T15:02:12.517Z
,3db6b6316dbb19efc773d6b01429013f,,1874a5a057a0ec8f1118f9752f83f595,20115.22943,hr,2023-07-04T00:00:00Z,{},2023-05-11T00:17:00Z,2023-06-01T14:00:00Z,,resolved,2023-05-11T00:17:34.91Z,2023-06-15T05:15:58.814Z
tire,3264b7acc673cbbad595a95e32ef8408,,5261104d6ac72a3bd7b2727bd4689e44,-19140.56797,km,2023-05-11T00:00:00Z,{},2023-05-10T16:32:21.12Z,2023-05-11T12:38:55Z,,resolved,2023-05-10T16:32:21.29Z,2023-05-11T12:38:58.872Z
,58c2d6b0743d8716c94e685c7188b58e,58c2d6b0743d8716c94e685c7188b58e,2e5841959e53f6d78e240bb8d3005f95,168077.3267,mi,2023-07-04T00:00:00Z,{},2023-04-12T17:44:00Z,,,closed,2023-04-12T17:44:48.652Z,2023-04-12T19:46:42.949Z
tension,3264b7acc673cbbad595a95e32ef8408,,cd0c022d7048493e9f92737e48763242,472.8876576,km,2023-05-09T00:00:00Z,{},2023-04-26T15:48:04.873Z,2023-04-27T08:28:49Z,,resolved,2023-04-26T15:48:05.115Z,2023-04-27T08:28:50.976Z
Auto loader gurney lock does not release at all times…half the time you have to override the lock manually.,879d22cad832ff01a01020ba3128ae55,,e58e451708f344b09aabfa2350a27726,73804.93068,mi,2023-07-03T00:00:00Z,{},2023-03-14T02:25:36.263Z,,,open,2023-03-14T02:41:41.457Z,2023-03-14T02:41:41.457Z
,6f14cf24f13c62f6a0ff06aed696bb72,,42ab318f9f669e2d7067a31300fcef9a,70525.6811,mi,2023-07-04T00:00:00Z,{},2023-04-19T11:45:00Z,,,open,2023-04-19T11:45:06.332Z,2023-04-29T16:42:45.627Z
,,,d3d89d9be0b98394fa044527af1c654c,134264.5881,mi,2023-06-29T00:00:00Z,{},2023-03-14T19:58:54.125Z,2023-04-13T05:00:00Z,,resolved,2023-03-14T19:58:54.14Z,2023-04-14T21:05:28.794Z
Middle luggage bay door side not opening,,,82b912da3332dfbbb00de6bd4d04796d,230164.7213,mi,2023-07-04T00:00:00Z,{},2023-04-25T13:56:07Z,,,open,2023-04-25T14:45:21.923Z,2023-04-25T14:45:21.923Z
Something wrong with exhaust when truck regens it fills the the cab with raw burnt diesel fumes and exhaust...,5ae7c22a0cf92e084300e0f684c587a2,,c4948b70d3dae6398ba0c0d913e2671a,323763.2717,mi,2023-05-22T00:00:00Z,{},2023-05-22T11:22:01.197Z,2023-05-22T21:57:44.18Z,"Checked under the truck and there are no exhaust leaks, there are no apparent exhaust leaks on the right side of the engine. Will monitor for further incidents. ",resolved,2023-05-22T11:25:23Z,2023-05-22T21:57:44.211Z
Need to be both replace,fca75688d9b769b70b3bd7f675aaa36c,,2907ebd708460693e5eb1eafdfd0b927,21505.09303,km,2023-05-31T00:00:00Z,"{
  ""petty_cash_ref"": """"
}",2023-01-21T08:14:00Z,2023-01-20T21:00:00Z,,resolved,2023-01-23T08:15:15.499Z,2023-01-23T08:16:31.7Z
Inspected by Leo needs replaced.,0f3dbf26d93e97ea886bc7d71f91b1a3,,c8011dd9851f6b91c5e6a25678968c65,4146.173716,mi,2023-05-30T00:00:00Z,{},2023-04-12T14:37:00Z,2023-05-11T18:00:00Z,,resolved,2023-04-12T14:37:43.907Z,2023-05-11T18:08:21.545Z
Bolt in back left side tire. Slow leak.,,,4733060dabada4a45ad6635a17b023bc,29868.44436,mi,2023-02-03T00:00:00Z,{},2023-02-03T06:13:06Z,,,open,2023-02-03T06:13:06Z,2023-02-03T10:44:26.098Z
Leaking Hydraulic fluid from target cylinder,,,468193b7a86e83ca5d51c2a94f21db50,114676.1405,mi,2023-07-04T00:00:00Z,{},2023-05-10T22:09:12Z,2023-05-10T07:00:00Z,,resolved,2023-05-10T22:30:01.217Z,2023-05-12T15:38:30.192Z
Death wobble,,,d4ec876e6ab7fe010ce8b84cf7b150ff,76802.33145,mi,2023-05-04T00:00:00Z,{},2023-01-18T00:30:39Z,2023-03-18T18:33:33.46Z,Resolved with new tires by third party,resolved,2023-01-18T00:34:38.157Z,2023-03-18T18:33:33.52Z
,75a955df64e3c6a120ef2f5c9db53379,,cd8efb61499075f1100268360e89338e,-3230.248734,mi,2023-06-28T00:00:00Z,,2023-05-03T15:30:00Z,2023-05-18T10:50:49.57Z,R,resolved,2023-05-10T15:59:58.071Z,2023-05-18T10:50:49.613Z
The turns single on the driver's side is out  The fat turn signal lights on the driver's side works,,,0b1e2b727e9f947946c2b2b16c515cd5,32640.91279,mi,2023-07-04T00:00:00Z,{},2023-01-31T03:28:58Z,2023-04-26T04:00:00Z,,resolved,2023-01-31T03:31:19.297Z,2023-04-27T11:14:59.589Z
Loose bolt rear driver outrigger,,,1cd5784f028993109d0397da21d81f56,104821.4211,km,2023-07-04T00:00:00Z,{},2023-05-05T10:12:04.534Z,2023-05-05T04:00:00Z,,resolved,2023-05-05T10:25:00.88Z,2023-05-05T19:31:22.585Z
[QC]Brake,3264b7acc673cbbad595a95e32ef8408,,766ce0b810034af2a29b4e2a3f3fc391,-8706.610458,km,2023-03-21T00:00:00Z,{},2023-01-04T17:10:12.012Z,2023-01-05T11:56:13Z,,resolved,2023-01-04T17:10:12.362Z,2023-01-05T11:56:15.489Z
,cdde45d6c5c46b783372c07eae935bae,,98fb85e3b89f4d76a925616e5cf72c25,652246.5111,km,2023-06-26T00:00:00Z,"{
  ""location"": """"
}",2023-06-20T03:50:00Z,2023-06-20T07:56:22.702Z,Checked over and found issue to be with prime mover. Tried 2nd prime mover - found all okay,resolved,2023-06-20T03:51:16.038Z,2023-06-20T07:56:22.754Z
Masse circuit électrique,8007a9b2e36acb6038aa5d86eaf57939,,351832e59df7160f8622f7f64b37030d,393208.358,km,2023-07-03T00:00:00Z,"{
  ""code_de_panne"": """",
  ""issue_codes"": """"
}",2023-03-06T15:38:16.198Z,2023-03-07T10:18:14.648Z,ok,resolved,2023-03-06T15:38:37.673Z,2023-03-07T10:18:14.696Z
I am unable to open Outlook on the left station computer in the day room.,5c08d36452062115ad3031c436c7c532,,fcc3749807b474cf9ea9aa31695c0e16,83130.81673,mi,2023-05-18T00:00:00Z,"{
  ""priority"": """"
}",2023-03-01T11:47:28.797Z,2023-03-13T11:38:43.921Z,ST105-DR replaced,resolved,2023-03-01T11:50:24.949Z,2023-03-13T11:38:43.968Z
Driver side brake light is out,,,7b934770463f50897f77c630f0d590a0,9393.502552,mi,2023-03-10T00:00:00Z,{},2023-03-10T07:09:35Z,,,open,2023-03-10T07:09:35Z,2023-03-10T08:12:39.043Z
Steps on back of truck don't allow full turn radius with out damaging the trailer.,,,4e5da3ad5d1a6092333471cd2bab2754,137819.0899,mi,2023-07-04T00:00:00Z,"{
  ""repair_summary"": """"
}",2023-05-31T11:03:13Z,2023-06-07T04:00:00Z,,resolved,2023-05-31T11:33:44.619Z,2023-06-19T11:52:02.977Z
Un goujon de roue (R) a couper et remplacer a la Mine (Top Mining),fcb1d8fd4f9efa13096033e70bccf357,,becccf03cc57c0cb222ba8e5a84a53e2,397050.9559,km,2023-07-02T00:00:00Z,,2023-06-27T12:48:00Z,2023-06-27T19:04:17.771Z,ok,resolved,2023-06-27T12:48:40.56Z,2023-06-27T19:04:17.808Z
Hydraulic fluid tends to get hot  every now and then,65fafe41880da92214fc5f5e8f394662,,508fe4764a00eff72b6f66ff500d9948,4055.974664,hr,2023-06-21T00:00:00Z,{},2023-05-31T10:09:26.116Z,,,open,2023-05-31T10:10:07.031Z,2023-05-31T10:10:07.031Z
Hydraulic seal on the arm cylinder blew out. That is the second cylinder from the bucket cylinder if you dint know.,1c522cbf2311cb59c512086eb9d97005,,0dee4201711a1f261d8d4670c1d9dbe7,-1835.385645,hr,2023-06-29T00:00:00Z,{},2023-05-29T18:32:00Z,2023-06-09T00:00:00Z,,resolved,2023-06-12T18:33:20.245Z,2023-06-13T18:51:35.953Z
Low—most severe (FMI: 1),,,94b0755013a741286b3ee8056769848b,730772.8549,mi,2023-07-04T00:00:00Z,{},2023-06-29T23:46:47.992Z,,,open,2023-06-29T23:46:48.013Z,2023-06-29T23:46:48.013Z
No fuel card,,,07741d976c8676009a01addfdc68aee5,139704.2809,mi,2023-07-04T00:00:00Z,{},2023-02-16T13:22:43Z,2023-05-09T23:12:24.464Z,,resolved,2023-02-16T13:45:15.631Z,2023-05-09T23:12:25.713Z
Number plate light not working,,,6fa40be513a0e5b2c40ad5aa3aba7632,71237.74748,mi,2023-02-03T00:00:00Z,{},2023-01-23T06:42:09Z,,,open,2023-01-24T06:25:38.954Z,2023-01-24T06:25:38.954Z
,0d8fda1402c285921979f5e3f9ec2455,,aa17f92a0d8c6201b2b0cf4e16273a28,7201.50662,mi,,,2023-03-16T22:11:00Z,,,open,2023-03-16T22:16:50.967Z,2023-03-16T22:16:51.207Z
"alignment, reach",3264b7acc673cbbad595a95e32ef8408,,efc50f2eac968d7fec655b2fe02707d9,6917.558606,km,2023-03-23T00:00:00Z,{},2023-01-28T14:25:17.315Z,2023-01-28T17:29:46Z,,resolved,2023-01-28T14:25:17.503Z,2023-01-28T17:29:48.662Z
