DESCRIPTION,CREATED_BY_ID,CLOSED_BY_ID,VEHICLE_ID,VEHICLE_METER_VALUE,VEHICLE_METER_UNIT,VEHICLE_METER_AT,CUSTOM_FIELDS,REPORTED_AT,RESOLVED_AT,RESOLVED_NOTE,STATE,CREATED_AT,UPDATED_AT
Transmission is shifting hard front end is shitty,a904237ba4344389a026f95ea45b73bd,,d82baf72dc255295f63647aca70a9cc8,227824.0339,mi,2023-07-04T00:00:00Z,{},2023-04-18T18:29:26.046Z,,,open,2023-04-18T18:30:30.288Z,2023-04-18T18:30:30.288Z
"the throttle constantly falls down to rabbit while in use, and the claws do not align when clamped together.",3d0f0b9625784afe52904d9e2441d95f,b46fd99f684da60ee1a474285543a880,0e7dd6cb1a859ca886690a058fbf464b,-13317.74797,hr,2022-12-19T00:00:00Z,{},2023-06-13T21:27:04.489Z,,,closed,2023-06-13T21:28:40.759Z,2023-06-14T12:00:20.031Z
Contrôle Pneumatique  +Resserage des écrous,fbd9273520b03afc9cc00c66361a12d8,,383c899010c6bce784345ec65f418837,215879.3624,km,2023-07-03T00:00:00Z,,2023-03-16T18:37:19.149Z,2023-03-16T19:24:19.924Z,Ok,resolved,2023-03-16T18:38:01.477Z,2023-03-16T19:24:20.026Z
,af7ddf329e6ac5f3f79aec7390fbccae,,e5f2d34392c5bd0e5b9a2e3d918b9130,16909.69928,mi,2023-07-04T00:00:00Z,{},2023-05-26T17:39:00Z,2023-06-29T14:29:41.172Z,replaced phone and resolved the issue,resolved,2023-05-26T17:40:03.789Z,2023-06-29T14:29:41.221Z
Aircon works! But the vents don’t sit in place and move around,335be8bf8bf49efb59272de90a22c666,,cfbee125a6181b4927197eac4d005b53,378678.7462,km,2023-07-05T00:00:00Z,{},2023-06-28T07:59:53.943Z,,,open,2023-06-28T08:01:38.908Z,2023-06-28T08:01:38.908Z
Glass has stone chips,,,ef74bb51ad3f2b9333bc7e0d07bedd33,207250.7683,mi,2023-07-03T00:00:00Z,{},2023-05-17T15:49:20Z,,,open,2023-05-17T16:21:19.496Z,2023-05-17T16:21:19.496Z
"Side step was struck against something and torn off, only brackets remain in place, sticking out from van.",e56d5a3528cfe533cc412652a8b60535,,821b3adf0ce10461f2781e18b3d79273,102844.6653,mi,2023-07-04T00:00:00Z,{},2023-04-13T13:42:00Z,,,open,2023-04-13T13:44:25.223Z,2023-04-13T13:44:25.223Z
Bolt in back left side tire. Slow leak.,,,ef61ef61aa4f66ddd2b1af693e015c95,63709.67353,mi,2023-03-28T00:00:00Z,{},2023-03-28T09:54:58Z,,,open,2023-03-28T09:54:58Z,2023-03-28T14:31:13.571Z
,1e8105077e7cdeabfcf1cd16db6c83a2,,0930996ba08c2b89c56bea8936cf63c0,148531.5616,mi,2023-07-04T00:00:00Z,"{
  ""accident_report"": ""false""
}",2023-04-05T11:24:00Z,2023-04-05T04:00:00Z,,resolved,2023-04-05T11:25:21.724Z,2023-04-05T14:19:31.983Z
Brake & ABS light on indicator showing issue,,,e85bdf0bd4256fab32275354dbb3a01e,136298.6159,mi,2023-07-04T00:00:00Z,{},2023-04-21T15:42:23Z,,,open,2023-04-21T16:31:36.583Z,2023-04-21T16:31:36.583Z
Pop up out of nowhere need to take to Hino incase problem gets much bigger,a58886b1791c235079d6e47c559461f8,,e9d71d390eced88addd2a19685c7093a,41119.78794,km,2023-07-07T00:00:00Z,,2023-01-08T01:19:12.688Z,2023-01-10T02:38:00Z,,resolved,2023-01-08T01:22:27.009Z,2023-06-08T15:42:19.172Z
,4edd1bceb702d6be95d22b37cc03412d,,ba9638d5f3276d17df58371f512c3537,315873.1199,mi,2023-07-03T00:00:00Z,"{
  ""priority_level"": """"
}",2023-05-03T09:40:00Z,2023-05-03T04:00:00Z,,resolved,2023-05-03T09:41:34.757Z,2023-05-03T21:54:30.538Z
Inner fender spot welds are broke causing inner fender sheet metal to rub on inside of tires. Weld back on or drill holes and cinch tigether with wire. Zip ties will break,4257a64ce09453326e890fdc5370435a,,,,,,{},2023-06-03T22:31:00Z,,,open,2023-06-03T22:33:11.355Z,2023-06-03T22:33:11.355Z
"NO TEST DONE
",825f6cbb0c0d3d1b3f2f8fa8af18c0a9,,b4d90a9e5719f29858f8a420ca5784cf,110408.5447,mi,2023-06-12T00:00:00Z,{},2023-03-02T16:26:00Z,2023-05-30T17:31:55.136Z,FOR SALE,resolved,2023-03-02T16:26:13.476Z,2023-05-30T17:31:55.261Z
City horn not working,,,b739a04a6475dfe97eb6c97cc1ab2dc6,231794.7714,mi,2023-07-04T00:00:00Z,{},2023-05-05T19:42:10Z,,,open,2023-05-05T20:28:24.918Z,2023-05-05T20:28:24.918Z
,ca8ea33cbfca3201832960deb6eb31f3,,eea6b928a60e6d9d23c38f2379597f99,126792.5455,mi,2022-09-03T00:00:00Z,{},2023-06-28T14:27:00Z,,,open,2023-06-28T14:29:33.251Z,2023-06-28T14:29:33.251Z
"pads, caliper align",3264b7acc673cbbad595a95e32ef8408,,a07eb89f4c683c38225083d825b64ea4,-3573.514352,mi,2023-05-08T00:00:00Z,{},2023-03-22T23:09:59.615Z,2023-03-22T23:41:00Z,,resolved,2023-03-22T23:09:59.785Z,2023-03-22T23:41:03.352Z
,,,87707a7aa4a2c8de46c9a03d0d912968,188479.6759,mi,2023-07-04T00:00:00Z,"{
  ""needs_recovery"": ""false"",
  ""physical_damage"": ""false""
}",2023-03-24T17:36:59.096Z,,,open,2023-03-24T17:36:59.107Z,2023-06-12T17:28:45.647Z
,6f14cf24f13c62f6a0ff06aed696bb72,,7e2d38c76a77ea0cc60aee6b30406bcb,70441.84518,mi,2023-07-04T00:00:00Z,{},2023-04-25T23:45:00Z,,,open,2023-04-25T23:45:14.394Z,2023-04-25T23:52:19.94Z
No decals,,,d70b26241b53c28e7d7dc640bc9df29d,83494.07457,mi,2023-07-04T00:00:00Z,{},2023-02-14T22:56:25Z,,,open,2023-02-15T22:27:26.551Z,2023-02-15T22:27:26.551Z
QUANTIX,e8e8ef070bd469a837abe2bbcb7fae77,,cd8efb61499075f1100268360e89338e,19304.8508,mi,2023-06-28T00:00:00Z,,2023-05-05T17:54:00Z,2023-05-18T17:03:11.891Z,W,resolved,2023-05-05T17:55:04.528Z,2023-05-18T17:03:11.938Z
,5c201573f2f4afc4ab588dc33493a6bc,,0ac8b62c747b0ba1598a61ff1dc52a49,68633.90715,mi,2023-06-19T00:00:00Z,{},2023-06-18T23:00:00Z,,,open,2023-06-21T08:41:44.155Z,2023-06-21T08:41:44.155Z
